#Number,Rarity Rank,Rarity Percent
3712,138,0.00000000597961201995%
3569,139,0.00000000608657179817%
3977,140,0.00000000611115651514%
4596,141,0.00000000619195619679%
3848,142,0.00000000619478458873%
3500,143,0.00000000620245731599%
3884,144,0.00000000620761386246%
2143,145,0.00000000622884145315%
4466,146,0.00000000624159950110%
3841,147,0.00000000628342366844%
1771,148,0.00000000630061831375%
3867,149,0.00000000630249695012%
4230,150,0.00000000633384759774%
4128,151,0.00000000635350787850%
3902,152,0.00000000635567141482%
3775,153,0.00000000636251529661%
3531,154,0.00000000636395498004%
4402,155,0.00000000636748843208%
4131,156,0.00000000637866091619%
3680,157,0.00000000638295406990%
4264,158,0.00000000647905383595%
1308,159,0.00000000649125355821%
4161,160,0.00000000650057982013%
3570,161,0.00000000650317713226%
4054,162,0.00000000651618244026%
4044,163,0.00000000653335585284%
3522,164,0.00000000657733849186%
4197,165,0.00000000660110851277%
3864,166,0.00000000662283027070%
4062,167,0.00000000662716463186%
4686,168,0.00000000671620758346%
3536,169,0.00000000672295335529%
1952,170,0.00000000673119273615%
4621,171,0.00000000681454930489%
4693,172,0.00000000681887286559%
4531,173,0.00000000682245412451%
3799,174,0.00000000683394761304%
3804,175,0.00000000684623279295%
4275,176,0.00000000686178850878%
3692,177,0.00000000686194388243%
3879,178,0.00000000686421510952%
3959,179,0.00000000689110440424%
4684,180,0.00000000691745004940%
3578,181,0.00000000692064269107%
3990,182,0.00000000693176833482%
4557,183,0.00000000694780094841%
3514,184,0.00000000697310095832%
4439,185,0.00000000701301197076%
4029,186,0.00000000701773824762%
631,187,0.00000000702243291125%
3528,188,0.00000000705580190515%
4295,189,0.00000000710527563910%
4262,190,0.00000000712438928062%
4660,191,0.00000000713002856774%
4657,192,0.00000000715539468543%
3778,193,0.00000000722542854447%
3795,194,0.00000000726223966525%
3679,195,0.00000000727303237140%
4533,196,0.00000000728287585511%
3961,197,0.00000000729827389542%
4602,198,0.00000000731343592489%
4498,199,0.00000000731546469384%
4538,200,0.00000000731597501576%
4098,201,0.00000000732287651217%
4425,202,0.00000000732749371048%
4454,203,0.00000000733770014884%
3988,204,0.00000000739543091413%
4284,205,0.00000000742377410048%
4345,206,0.00000000743143656679%
3757,207,0.00000000744130687140%
4317,208,0.00000000747313740327%
3512,209,0.00000000748595901645%
3860,210,0.00000000748775740619%
10,211,0.00000000749677257179%
3689,212,0.00000000750270357084%
4203,213,0.00000000753440697225%
4135,214,0.00000000754445784711%
1532,215,0.00000000755191753114%
4677,216,0.00000000756340189143%
4385,217,0.00000000767098215169%
3768,218,0.00000000768134390809%
3866,219,0.00000000768359236829%
2602,220,0.00000000773229524982%
4518,221,0.00000000776293950006%
3577,222,0.00000000776668720988%
4541,223,0.00000000779449556616%
3560,224,0.00000000780387858677%
4413,225,0.00000000780606092993%
4667,226,0.00000000780627492946%
3962,227,0.00000000783673170063%
3537,228,0.00000000784941288732%
4012,229,0.00000000786659165411%
4513,230,0.00000000787135106875%
3683,231,0.00000000787151307571%
4347,232,0.00000000787968936438%
4431,233,0.00000000790155516429%
3747,234,0.00000000791069985876%
4484,235,0.00000000792169203086%
4320,236,0.00000000793204672246%
160,237,0.00000000797150562849%
3892,238,0.00000000798939860951%
3885,239,0.00000000803122493522%
4242,240,0.00000000805079813916%
4170,241,0.00000000806012633987%
4097,242,0.00000000806405834539%
3711,243,0.00000000811541749668%
4477,244,0.00000000812297543834%
4465,245,0.00000000817417102582%
3974,246,0.00000000819932402995%
3592,247,0.00000000820374585339%
4146,248,0.00000000824630144532%
4443,249,0.00000000824912552116%
4302,250,0.00000000827246827301%
3638,251,0.00000000830770668491%
4521,252,0.00000000832692522056%
4112,253,0.00000000836063877648%
3899,254,0.00000000838805201068%
4509,255,0.00000000842170389350%
3746,256,0.00000000843278618198%
4259,257,0.00000000843362728345%
4139,258,0.00000000844863122189%
1557,259,0.00000000855677029110%
4568,260,0.00000000855693206793%
4608,261,0.00000000857610179822%
4208,262,0.00000000860635763447%
31,263,0.00000000861295609912%
4349,264,0.00000000865885789159%
3971,265,0.00000000866122611831%
